,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hithadhoo,-0.6,73.08,82.31,73,80,9.01,MV,1576233078
1,sao filipe,14.9,-24.5,74.34,62,21,16.02,CV,1576233078
2,salalah,17.01,54.1,84.2,62,0,9.17,OM,1576233078
3,shache,38.42,77.24,33.01,80,98,2.24,CN,1576233078
4,clyde river,70.47,-68.59,-9.22,73,96,9.62,CA,1576233078
5,norman wells,65.28,-126.83,-11.2,69,5,12.75,CA,1576233079
6,albany,42.65,-73.75,30.99,63,75,9.17,US,1576233025
7,jamestown,-33.21,138.6,58.23,58,63,10.56,AU,1576233079
8,yellowknife,62.45,-114.38,-27.99,65,5,4.7,CA,1576233080
9,atuona,-9.8,-139.03,78.78,57,0,4.9,PF,1576233080
10,bredasdorp,-34.53,20.04,77.0,53,43,18.34,ZA,1576233080
11,komsomolskiy,67.55,63.78,5.02,97,98,3.27,RU,1576233081
12,vega de alatorre,20.03,-96.65,68.07,83,47,10.2,MX,1576233081
13,plastun,44.76,136.29,19.31,77,100,3.78,RU,1576233082
14,longyearbyen,78.22,15.63,23.0,67,75,26.4,NO,1576233082
15,bethel,60.79,-161.76,21.2,85,90,12.75,US,1576233082
16,elat,2.91,11.16,80.82,67,100,2.73,CM,1576233082
17,carnarvon,-30.97,22.13,89.67,12,0,15.14,ZA,1576233083
18,rikitea,-23.12,-134.97,73.2,79,77,24.07,PF,1576233083
19,ushuaia,-54.81,-68.31,41.0,80,75,4.7,AR,1576232918
20,bharatpur,27.22,77.5,65.97,65,7,0.67,IN,1576233083
21,dingle,11.0,122.67,74.44,93,21,9.4,PH,1576233084
22,avera,33.19,-82.53,39.2,86,90,10.29,US,1576233084
23,los llanos de aridane,28.66,-17.92,66.2,55,75,10.29,ES,1576233084
24,nanning,22.83,108.3,73.4,53,0,2.24,CN,1576233084
25,bismarck,46.81,-100.78,23.0,85,75,5.82,US,1576233084
26,thompson,55.74,-97.86,-34.6,65,5,3.4,CA,1576233013
27,moose factory,51.26,-80.61,-25.6,74,1,3.36,CA,1576233085
28,puerto ayora,-0.74,-90.35,71.01,86,5,8.99,EC,1576233085
29,lingao,19.91,109.69,71.13,85,92,19.73,CN,1576233085
30,nizhniy tsasuchey,50.52,115.13,11.89,82,0,4.97,RU,1576233085
31,aksu,52.04,76.93,33.8,100,90,4.47,KZ,1576233086
32,constitucion,23.99,-104.67,43.0,49,0,8.99,MX,1576233086
33,natchitoches,31.76,-93.09,48.2,100,90,2.95,US,1576233086
34,zhigansk,66.77,123.37,-30.05,94,61,10.04,RU,1576233086
35,tezu,27.93,96.16,62.53,57,83,4.29,IN,1576233086
36,busselton,-33.64,115.35,93.0,5,0,12.86,AU,1576233087
37,severo-kurilsk,50.68,156.12,25.11,89,100,8.46,RU,1576233087
38,lakes entrance,-37.88,147.99,64.0,61,100,16.06,AU,1576233087
39,inirida,3.87,-67.92,75.74,91,99,1.23,CO,1576233088
40,hermanus,-34.42,19.24,82.99,52,0,3.0,ZA,1576233088
41,mataura,-46.19,168.86,54.0,76,33,14.0,NZ,1576233088
42,namibe,-15.19,12.15,77.0,65,20,17.22,AO,1576233088
43,vaini,15.34,74.49,84.2,54,40,3.36,IN,1576233089
44,khatanga,71.98,102.47,-18.98,96,51,10.33,RU,1576233089
45,new norfolk,-42.78,147.06,60.8,59,75,13.87,AU,1576233089
46,haines junction,60.75,-137.51,16.27,93,95,6.46,CA,1576233089
47,saint anthony,43.97,-111.68,34.0,80,90,5.82,US,1576233090
48,barrow,-38.31,-60.23,63.41,24,98,11.25,AR,1576233090
49,upernavik,72.79,-56.15,9.01,82,100,11.25,GL,1576233090
50,chuy,-33.69,-53.46,64.31,47,33,6.87,UY,1576233090
51,airai,-8.93,125.41,68.29,88,49,0.67,TL,1576233090
52,belmonte,40.36,-7.35,57.99,81,100,10.67,PT,1576233091
53,pevek,69.7,170.27,-3.28,95,100,8.7,RU,1576233091
54,deqing,30.54,119.97,60.01,71,41,1.39,CN,1576233091
55,monterrey,25.67,-100.32,55.0,87,5,6.93,MX,1576233023
56,punta arenas,-53.16,-70.91,46.4,87,90,9.17,CL,1576233091
57,karasburg,-28.01,18.75,92.68,8,0,12.44,NA,1576233092
58,kruisfontein,-34.0,24.73,84.56,45,6,21.92,ZA,1576233093
59,kavieng,-2.57,150.8,84.6,72,73,7.34,PG,1576233093
60,kaeo,-35.1,173.78,64.0,99,74,14.81,NZ,1576233093
61,celestun,20.87,-90.4,74.95,81,72,8.21,MX,1576233093
62,sept-iles,50.2,-66.38,-22.0,74,40,10.98,CA,1576232885
63,grindavik,63.84,-22.43,19.4,73,34,5.82,IS,1576232945
64,lukovetskiy,64.29,41.92,30.2,92,90,4.47,RU,1576233094
65,miyang,24.4,103.44,47.53,87,0,2.28,CN,1576233094
66,egvekinot,66.32,-179.17,15.21,91,97,13.27,RU,1576233094
67,hilo,19.71,-155.08,73.4,88,90,6.93,US,1576233094
68,butaritari,3.07,172.79,83.59,79,25,16.71,KI,1576233094
69,san quintin,17.54,120.52,75.78,75,0,7.76,PH,1576233095
70,castro,-42.48,-73.76,48.2,100,75,8.05,CL,1576233095
71,bluff,-23.58,149.07,76.89,75,0,9.42,AU,1576233095
72,adrar,27.87,-0.29,60.8,41,0,4.7,DZ,1576233096
73,coruripe,-10.12,-36.18,81.59,67,33,12.35,BR,1576233096
74,stanghelle,60.55,5.74,45.0,56,75,16.11,NO,1576233096
75,mantua,45.16,10.79,37.99,100,75,3.36,IT,1576233012
76,belaya gora,68.54,146.19,-18.17,97,97,3.56,RU,1576233097
77,arraial do cabo,-22.97,-42.02,75.2,94,75,6.93,BR,1576233097
78,sinnamary,5.38,-52.96,81.09,81,100,17.47,GF,1576233097
79,hobart,-42.88,147.33,60.8,59,75,13.87,AU,1576232899
80,ust-nera,64.57,143.24,-31.67,99,100,2.68,RU,1576232830
81,pisco,-13.71,-76.2,64.99,82,82,1.72,PE,1576233098
82,birao,10.3,22.78,95.56,12,48,11.68,CF,1576233098
83,pangnirtung,66.15,-65.72,-13.43,96,100,3.56,CA,1576233098
84,nemuro,43.32,145.57,23.0,62,20,3.36,JP,1576233098
85,saint-philippe,45.36,-73.48,33.8,58,90,12.75,CA,1576233099
86,tripoli,37.51,22.37,63.0,63,40,10.45,GR,1576233099
87,saint george,39.45,22.34,57.2,87,75,1.43,GR,1576233099
88,ningyang,35.76,116.79,55.0,16,0,6.38,CN,1576233099
89,balkhash,46.84,74.98,26.6,100,90,4.47,KZ,1576233099
90,vila velha,-3.71,-38.6,81.0,78,75,13.87,BR,1576233100
91,taseyevo,57.22,94.9,26.8,88,100,7.34,RU,1576233100
92,mitsamiouli,-11.38,43.28,89.6,62,40,8.05,KM,1576233100
93,morro bay,35.37,-120.85,57.99,100,1,3.85,US,1576233100
94,covasint,46.2,21.6,51.01,81,20,10.29,RO,1576233100
95,alice springs,-23.7,133.88,82.4,24,49,12.75,AU,1576233040
96,hualmay,-11.1,-77.61,66.22,79,100,2.86,PE,1576233101
97,dalby,-27.18,151.26,77.0,69,72,19.46,AU,1576233101
98,leningradskiy,69.38,178.42,4.06,97,100,17.54,RU,1576233101
99,narsaq,60.91,-46.05,33.8,24,40,25.28,GL,1576233102
100,torbay,47.66,-52.73,17.01,61,75,27.51,CA,1576233102
101,kaitangata,-46.28,169.85,55.99,46,33,21.0,NZ,1576233102
102,cape town,-33.93,18.42,82.99,51,0,8.05,ZA,1576232809
103,opuwo,-18.06,13.84,93.81,14,26,7.14,NA,1576233102
104,kedrovyy,56.17,91.82,32.0,95,100,8.95,RU,1576233103
105,gilgit,35.92,74.31,18.81,89,100,3.04,PK,1576232885
106,matagalpa,12.92,-85.92,60.55,98,68,4.76,NI,1576233103
107,lesnica,44.65,19.31,50.0,81,20,4.7,RS,1576233104
108,saldanha,41.42,-6.55,53.55,81,100,14.43,PT,1576233104
109,tamandare,-8.28,-70.75,73.08,99,100,1.57,BR,1576233104
110,chicama,-7.84,-79.15,66.2,88,75,2.24,PE,1576233104
111,mount gambier,-37.83,140.78,57.2,82,90,13.87,AU,1576233104
112,ponta do sol,-20.63,-46.0,72.84,85,93,3.24,BR,1576233105
113,dikson,73.51,80.55,-9.63,100,98,7.99,RU,1576233105
114,wanning,48.64,13.53,36.0,70,75,8.05,AT,1576233105
115,port hardy,50.7,-127.42,41.0,100,90,2.24,CA,1576233105
116,coihaique,-45.58,-72.07,46.4,87,20,5.82,CL,1576233106
117,rawa mazowiecka,51.76,20.25,37.99,93,75,6.93,PL,1576233106
118,mongu,-15.27,23.14,87.35,37,38,9.1,ZM,1576233106
119,janakkala,60.93,24.67,37.0,95,100,4.0,FI,1576233106
120,bambanglipuro,-7.95,110.28,77.88,83,97,4.25,ID,1576233106
121,east london,-33.02,27.91,73.4,73,40,18.34,ZA,1576233107
122,bambous virieux,-20.34,57.76,86.0,70,75,16.11,MU,1576233107
123,nantucket,41.28,-70.1,37.99,64,1,12.75,US,1576233107
124,avarua,-21.21,-159.78,75.2,73,44,11.41,CK,1576233047
125,tibiri,13.57,7.05,75.2,11,100,18.34,NE,1576233108
126,katsuura,33.93,134.5,46.4,65,75,3.36,JP,1576233108
127,saskylakh,71.97,114.09,-29.47,95,0,11.7,RU,1576233108
128,port moresby,-9.47,147.16,82.4,74,75,11.41,PG,1576233108
129,lompoc,34.64,-120.46,57.2,100,90,13.53,US,1576233109
130,poyarkovo,49.62,128.65,-10.66,96,90,7.23,RU,1576233109
131,kununurra,-15.77,128.74,87.8,55,87,5.82,AU,1576233109
132,tocopilla,-22.09,-70.2,62.85,22,0,1.39,CL,1576233109
133,bathsheba,13.22,-59.52,78.8,78,40,17.22,BB,1576233109
134,kapaa,22.08,-159.32,75.2,88,75,19.46,US,1576233110
135,pangody,65.85,74.49,-4.7,97,94,11.92,RU,1576233110
136,nyurba,63.29,118.35,-13.72,97,98,6.17,RU,1576233110
137,te anau,-45.41,167.72,47.1,77,84,7.63,NZ,1576233110
138,salinas,36.67,-121.66,60.01,93,90,4.05,US,1576233111
139,pasighat,28.06,95.33,64.51,71,67,2.66,IN,1576233111
140,ust-tsilma,65.44,52.15,22.77,95,100,5.14,RU,1576233111
141,yumen,40.29,97.04,25.56,37,0,12.39,CN,1576233111
142,vila franca do campo,37.72,-25.43,60.8,63,75,11.41,PT,1576233111
143,paka,4.15,15.03,93.34,26,81,4.61,CF,1576233112
144,half moon bay,37.46,-122.43,59.0,100,90,3.76,US,1576233112
145,petropavlovsk-kamchatskiy,53.05,158.65,21.2,73,100,2.24,RU,1576233112
146,salgueiro,-8.07,-39.12,83.61,37,35,13.69,BR,1576233112
147,jumla,29.28,82.18,31.53,99,100,4.88,NP,1576233112
148,alihe,50.57,123.73,-3.01,91,12,3.56,CN,1576233113
149,hobyo,5.35,48.53,84.07,60,12,17.29,SO,1576233113
150,puerto madero,-34.61,-58.36,63.0,51,2,9.17,AR,1576232878
151,cidreira,-30.17,-50.22,68.52,60,4,11.9,BR,1576233113
152,bonavista,48.65,-53.11,15.01,68,66,21.0,CA,1576233113
153,lagoa,37.14,-8.45,64.0,87,75,8.05,PT,1576233016
154,dicabisagan,17.08,122.42,77.02,88,38,10.71,PH,1576233114
155,mayo,63.59,-135.9,19.4,67,90,8.05,CA,1576233114
156,mehamn,71.03,27.85,37.4,74,100,32.21,NO,1576233114
157,arman,59.7,150.17,6.69,72,100,9.1,RU,1576233115
158,teguise,29.06,-13.56,66.2,63,75,20.8,ES,1576233115
159,kahului,20.89,-156.47,75.2,69,1,5.82,US,1576232942
160,prince rupert,54.32,-130.32,37.4,100,20,4.7,CA,1576232919
161,yarmouth,43.84,-66.12,24.01,73,75,5.82,CA,1576233116
162,tomari,47.76,142.06,23.13,55,82,7.99,RU,1576233116
163,ossora,59.24,163.07,3.22,85,55,7.38,RU,1576233117
164,kupang,-10.16,123.6,82.4,74,40,1.12,ID,1576233117
165,kodiak,39.95,-94.76,28.4,92,1,4.7,US,1576233117
166,north platte,41.12,-100.77,35.01,86,90,6.93,US,1576233117
167,kapit,2.02,112.94,71.89,97,100,0.83,MY,1576233117
168,isangel,-19.55,169.27,73.4,69,77,8.05,VU,1576233117
169,mar del plata,-46.43,-67.52,58.82,45,88,18.41,AR,1576233118
170,pyay,18.82,95.22,69.17,67,0,2.1,MM,1576233118
171,abu dhabi,24.47,54.37,80.6,50,0,5.82,AE,1576232994
172,praia da vitoria,38.73,-27.07,64.0,82,75,20.96,PT,1576233118
173,faanui,-16.48,-151.75,79.93,77,100,9.26,PF,1576233118
174,ambilobe,-13.19,49.05,86.23,68,50,9.37,MG,1576233119
175,hun,50.34,4.87,43.0,93,75,20.8,BE,1576233119
176,kolokani,13.58,-8.03,89.62,8,90,14.14,ML,1576233119
177,sioux lookout,50.1,-91.92,1.4,64,90,3.36,CA,1576233119
178,broome,52.47,1.45,44.01,87,75,12.75,GB,1576233119
179,huarmey,-10.07,-78.15,66.72,78,100,1.74,PE,1576233120
180,lebu,8.96,38.73,71.6,33,40,11.41,ET,1576233120
181,skibbereen,51.55,-9.27,41.0,75,20,13.87,IE,1576233120
182,port lincoln,-34.72,135.86,58.87,84,67,10.69,AU,1576233120
183,noumea,-22.28,166.46,80.01,60,0,2.24,NC,1576233100
184,marrakesh,31.63,-7.99,53.6,76,0,8.05,MA,1576233121
185,lata,30.78,78.62,16.93,99,100,9.66,IN,1576233121
186,havoysund,71.0,24.66,37.4,74,40,14.99,NO,1576233121
187,nikolskoye,59.7,30.79,37.0,93,75,11.18,RU,1576233121
188,cedar city,37.68,-113.06,37.4,69,20,8.05,US,1576233122
189,luderitz,-26.65,15.16,78.8,50,0,19.46,NA,1576233122
190,hirara,24.8,125.28,68.0,82,20,9.17,JP,1576233122
191,encruzilhada,-15.53,-40.91,72.5,72,100,6.13,BR,1576233122
192,lubumbashi,-11.66,27.48,80.69,62,82,3.15,CD,1576233123
193,mokhotlong,-29.29,29.06,58.78,55,66,11.21,LS,1576233123
194,elizabeth city,36.3,-76.22,52.0,87,20,8.05,US,1576233123
195,souillac,45.6,-0.6,51.01,81,96,21.92,FR,1576233124
196,goundam,16.42,-3.66,88.77,10,99,17.02,ML,1576233124
197,kang,-23.67,22.79,94.82,13,0,5.06,BW,1576233124
198,ribeira grande,38.52,-28.7,64.4,59,75,19.46,PT,1576233124
199,ardakan,32.31,54.02,55.4,30,75,6.93,IR,1576233125
200,skelleftea,64.75,20.95,35.6,93,75,9.17,SE,1576233125
201,victoria,5.28,115.24,84.2,78,75,3.36,BN,1576233126
202,pacific grove,36.62,-121.92,59.0,93,90,6.87,US,1576233126
203,koygorodok,60.44,51.01,23.95,92,100,7.25,RU,1576233126
204,dunedin,-45.87,170.5,54.0,88,46,3.0,NZ,1576233010
205,margate,-43.03,147.26,60.8,59,75,13.87,AU,1576233127
206,aitape,-3.15,142.36,83.64,81,100,13.22,PG,1576233127
207,rambouillet,48.65,1.83,46.0,70,64,19.46,FR,1576233127
208,baiyin,36.55,104.13,32.0,38,100,2.24,CN,1576233127
209,magistralnyy,56.17,107.45,14.4,90,99,5.01,RU,1576233128
210,sand,49.68,11.63,36.0,94,90,4.7,DE,1576233128
211,najran,17.54,44.22,86.0,37,20,6.93,SA,1576233128
212,khandyga,62.65,135.58,-37.95,96,29,1.95,RU,1576233129
213,jaguey grande,22.53,-81.13,66.2,93,51,4.7,CU,1576233129
214,baijiantan,45.63,85.18,20.89,90,67,2.86,CN,1576233129
215,richards bay,-28.77,32.06,72.95,73,13,16.42,ZA,1576233129
216,ban nahin,18.24,104.21,70.03,60,10,5.17,LA,1576233129
217,gumdag,39.2,54.59,52.34,51,63,18.01,TM,1576233130
218,sabang,13.8,121.11,81.0,83,5,4.0,PH,1576233130
219,zhangye,38.94,100.46,27.84,33,33,4.16,CN,1576233130
220,gladstone,-23.84,151.26,81.0,69,18,9.17,AU,1576233130
221,kokoda,-8.88,147.74,62.64,91,100,2.35,PG,1576233131
222,davenda,53.56,119.32,-7.42,94,0,2.82,RU,1576233131
223,shirokiy,53.87,39.17,31.1,86,99,10.11,RU,1576233131
224,tasiilaq,65.61,-37.64,19.4,73,89,9.17,GL,1576233131
225,cherskiy,68.75,161.3,-17.32,100,91,0.89,RU,1576233132
226,mauganj,24.67,81.88,67.37,78,25,8.86,IN,1576233132
227,itoman,26.12,127.67,68.0,60,20,8.05,JP,1576233132
228,esperance,-33.86,121.89,82.4,28,0,17.22,AU,1576233132
229,yangambi,0.77,24.47,91.17,48,50,0.92,CD,1576233132
230,qaanaaq,77.48,-69.36,-4.0,68,100,9.55,GL,1576233134
231,beloha,-25.17,45.06,77.49,76,84,13.96,MG,1576233134
232,bourail,-21.57,165.5,69.06,79,51,3.06,NC,1576233134
233,aklavik,68.22,-135.01,-14.8,68,5,4.7,CA,1576233134
234,poum,41.28,20.71,48.2,66,75,6.93,MK,1576233135
235,stuttgart,48.78,9.18,44.01,86,75,11.41,DE,1576233113
236,fortuna,40.6,-124.16,55.0,93,90,4.7,US,1576233135
237,comodoro rivadavia,-45.87,-67.48,55.4,58,50,6.93,AR,1576233135
238,port alfred,-33.59,26.89,69.01,86,58,11.99,ZA,1576233136
239,biscarrosse,44.41,-1.18,57.2,76,100,26.4,FR,1576233136
240,iqaluit,63.75,-68.52,-2.2,70,75,9.17,CA,1576233136
241,ucluelet,48.94,-125.55,44.01,94,75,4.21,CA,1576233136
242,tessalit,20.2,1.01,81.95,3,100,10.71,ML,1576233137
243,hambantota,6.12,81.12,84.2,89,40,4.7,LK,1576233137
244,prieska,-29.67,22.74,96.55,8,0,23.2,ZA,1576233137
245,georgetown,6.8,-58.16,75.2,100,75,4.7,GY,1576233124
246,maldonado,-34.91,-54.96,60.8,59,20,8.05,UY,1576233138
247,chekhov,55.14,37.45,34.0,83,90,8.95,RU,1576233138
248,shimoda,34.7,138.93,46.4,87,40,5.82,JP,1576233138
249,sechura,-5.56,-80.82,67.28,90,81,10.45,PE,1576233138
250,morondava,-20.3,44.28,91.96,46,100,12.71,MG,1576233139
251,anchorage,61.22,-149.89,36.0,74,1,6.44,US,1576233067
252,caravelas,-17.73,-39.27,82.49,71,11,10.07,BR,1576233139
253,letychiv,49.38,27.62,36.52,80,100,17.81,UA,1576233139
254,bozoum,6.31,16.38,94.17,11,26,7.7,CF,1576233139
255,nchelenge,-9.35,28.74,77.72,70,97,5.14,ZM,1576233140
256,yerbogachen,61.28,108.01,27.7,93,100,15.05,RU,1576233140
257,kuloy,61.03,42.49,32.54,88,100,6.49,RU,1576233140
258,chifeng,42.27,118.96,18.7,59,0,14.29,CN,1576233140
259,yertsevo,60.8,40.09,31.93,90,100,7.74,RU,1576233140
260,vila,45.18,8.4,36.0,96,90,3.36,IT,1576233141
261,la ronge,55.1,-105.3,-18.4,75,5,4.03,CA,1576233141
262,wagar,31.44,-87.99,48.0,81,100,2.93,US,1576233141
263,byron bay,-28.65,153.62,72.0,94,40,5.82,AU,1576233141
264,strezhevoy,60.73,77.6,19.4,85,75,4.47,RU,1576233142
265,cruzeiro do sul,-7.63,-72.67,73.71,97,100,0.83,BR,1576233142
266,cloquet,46.72,-92.46,24.01,85,90,1.43,US,1576232959
267,nshamba,-1.8,31.55,82.15,45,61,4.07,TZ,1576233142
268,kamenka,48.03,28.7,30.0,91,100,5.01,MD,1576233142
269,general pico,-35.66,-63.75,67.37,22,49,16.31,AR,1576233143
270,oranjestad,12.52,-70.03,75.2,94,20,5.82,AW,1576232896
271,neuquen,-38.95,-68.06,68.0,13,75,11.41,AR,1576233142
272,sobolevo,54.43,31.9,32.31,94,100,15.1,RU,1576233144
